ID2,ID1,Slide,Age,Sex
GSM4080206,100994770128_R03C01,1.01E+11,0.249315068,F
GSM4080208,100994770128_R06C01,1.01E+11,0.243835616,M
GSM4080209,100994770128_R01C02,1.01E+11,0.230136986,F
GSM4080210,100994770128_R05C02,1.01E+11,0.208219178,M
GSM4080211,101070190003_R02C01,1.01E+11,0.219178082,M
GSM4080212,101070190003_R04C01,1.01E+11,0.230136986,M
GSM4080213,101070190003_R05C01,1.01E+11,0.249315068,F
GSM4080214,101070190003_R06C01,1.01E+11,0.260273973,M
GSM4080215,101070190003_R01C02,1.01E+11,0.246575342,F
GSM4080216,101070190003_R05C02,1.01E+11,0.2,F
GSM4080217,101070190055_R02C01,1.01E+11,0.230136986,F
GSM4080218,101070190055_R03C01,1.01E+11,0.221917808,M
GSM4080219,101070190055_R04C01,1.01E+11,0.246575342,M
GSM4080220,101070190055_R06C01,1.01E+11,0.249315068,F
GSM4080221,101070190055_R03C02,1.01E+11,0.252054795,F
GSM4080222,101070190055_R04C02,1.01E+11,0.230136986,M
GSM4080223,101070190055_R05C02,1.01E+11,0.249315068,M
GSM4080224,101070190056_R01C01,1.01E+11,0.205479452,M
GSM4080225,101070190056_R03C01,1.01E+11,0.22739726,M
GSM4080226,101070190056_R04C01,1.01E+11,0.249315068,M
GSM4080227,101070190056_R06C01,1.01E+11,0.265753425,M
GSM4080228,101070190056_R01C02,1.01E+11,0.284931507,M
GSM4080229,101070190056_R02C02,1.01E+11,0.306849315,M
GSM4080230,101070190056_R03C02,1.01E+11,0.260273973,M
GSM4080231,101070190056_R04C02,1.01E+11,0.243835616,M
GSM4080232,101070190056_R05C02,1.01E+11,0.260273973,M
GSM4080233,101070190057_R03C01,1.01E+11,0.249315068,M
GSM4080234,101070190057_R04C01,1.01E+11,0.22739726,M
GSM4080235,101070190057_R06C01,1.01E+11,0.249315068,M
GSM4080236,101070190057_R01C02,1.01E+11,0.224657534,M
GSM4080237,101070190057_R03C02,1.01E+11,0.301369863,F
GSM4080238,101070190057_R04C02,1.01E+11,0.232876712,F
GSM4080239,101070190057_R06C02,1.01E+11,0.249315068,F
GSM4080240,101070190058_R01C01,1.01E+11,0.205479452,M
GSM4080241,101070190058_R02C01,1.01E+11,0.268493151,F
GSM4080242,101070190058_R05C01,1.01E+11,0.24109589,M
GSM4080243,101070190058_R06C01,1.01E+11,0.219178082,M
GSM4080244,101070190058_R02C02,1.01E+11,0.265753425,F
GSM4080245,101070190152_R03C01,1.01E+11,0.235616438,F
GSM4080246,101070190152_R04C01,1.01E+11,0.249315068,F
GSM4080247,101070190152_R02C02,1.01E+11,0.219178082,F
GSM4080248,101070190152_R04C02,1.01E+11,0.243835616,F
GSM4080249,101103430141_R02C01,1.01E+11,0.210958904,M
GSM4080250,101103430141_R03C01,1.01E+11,0.260273973,F
GSM4080251,101103430141_R05C01,1.01E+11,0.235616438,F
GSM4080252,101103430141_R03C02,1.01E+11,0.235616438,F
GSM4080253,101103430141_R04C02,1.01E+11,0.249315068,F
GSM4080254,101103430141_R06C02,1.01E+11,0.232876712,F
GSM4080255,101103430145_R01C01,1.01E+11,0.232876712,M
GSM4080256,101103430145_R02C01,1.01E+11,0.232876712,M
GSM4080258,101103430145_R05C01,1.01E+11,0.232876712,F
GSM4080259,101103430145_R04C02,1.01E+11,0.276712329,F
GSM4080260,101103430145_R06C02,1.01E+11,0.249315068,M
GSM4080261,101130760026_R02C01,1.01E+11,0.230136986,M
GSM4080262,101130760026_R04C01,1.01E+11,0.22739726,F
GSM4080263,101130760026_R06C01,1.01E+11,0.24109589,M
GSM4080264,101130760026_R02C02,1.01E+11,0.238356164,M
GSM4080265,101130760026_R05C02,1.01E+11,0.169863014,M
GSM4080267,101130760033_R01C01,1.01E+11,0.249315068,F
GSM4080268,101130760033_R02C01,1.01E+11,0.197260274,F
GSM4080269,101130760033_R04C01,1.01E+11,0.257534247,F
GSM4080270,101130760033_R01C02,1.01E+11,0.22739726,F
GSM4080272,101130760033_R04C02,1.01E+11,0.232876712,F
GSM4080273,101130760033_R06C02,1.01E+11,0.328767123,F
GSM4080274,101130760044_R03C01,1.01E+11,0.249315068,M
GSM4080275,101130760044_R05C01,1.01E+11,0.271232877,F
GSM4080276,101130760044_R06C01,1.01E+11,0.230136986,F
GSM4080277,101130760044_R03C02,1.01E+11,0.284931507,F
GSM4080278,101130760044_R04C02,1.01E+11,0.238356164,M
GSM4080279,101130760044_R06C02,1.01E+11,0.301369863,F
GSM4080280,100973330031_R01C01,1.01E+11,0.238356164,M
GSM4080281,100973330031_R06C01,1.01E+11,0.235616438,M
GSM4080284,100973330031_R05C02,1.01E+11,0.230136986,M
GSM4080285,100973330052_R01C01,1.01E+11,0.252054795,M
GSM4080286,100973330052_R04C01,1.01E+11,0.249315068,M
GSM4080287,100973330052_R06C01,1.01E+11,0.260273973,F
GSM4080288,100973330052_R01C02,1.01E+11,0.219178082,M
GSM4080289,100973330052_R02C02,1.01E+11,0.309589041,M
GSM4080290,100973330052_R06C02,1.01E+11,0.263013699,M
GSM4080291,100973330053_R04C01,1.01E+11,0.271232877,M
GSM4080292,100973330053_R06C01,1.01E+11,0.257534247,F
GSM4080293,100973330053_R01C02,1.01E+11,0.249315068,F
GSM4080294,100973330053_R02C02,1.01E+11,0.24109589,M
GSM4080295,100973330053_R03C02,1.01E+11,0.254794521,F
GSM4080296,100973330053_R04C02,1.01E+11,0.224657534,M
GSM4080297,100973330053_R05C02,1.01E+11,0.243835616,F
GSM4080298,100973330053_R06C02,1.01E+11,0.22739726,M
GSM4080299,100973330058_R02C01,1.01E+11,0.24109589,F
GSM4080300,100973330058_R03C01,1.01E+11,0.249315068,F
GSM4080301,100973330058_R02C02,1.01E+11,0.219178082,F
GSM4080302,100973330058_R04C02,1.01E+11,0.197260274,F
GSM4080303,100973330058_R05C02,1.01E+11,0.216438356,F
GSM4080304,100973330058_R06C02,1.01E+11,0.246575342,F
GSM4080305,101130760019_R01C01,1.01E+11,0.295890411,F
GSM4080306,101130760019_R02C02,1.01E+11,0.22739726,F
GSM4080307,101130760019_R03C02,1.01E+11,0.249315068,M
GSM4080308,101130760019_R06C02,1.01E+11,0.257534247,M
GSM4080309,101130760030_R01C01,1.01E+11,0.232876712,M
GSM4080310,101130760030_R04C01,1.01E+11,0.243835616,F
GSM4080311,101130760030_R01C02,1.01E+11,0.232876712,M
GSM4080312,101130760030_R02C02,1.01E+11,0.252054795,F
GSM4080313,101130760030_R03C02,1.01E+11,0.249315068,M
GSM4080314,101130760030_R04C02,1.01E+11,0.265753425,F
GSM4080315,101130760030_R05C02,1.01E+11,0.257534247,M
GSM4080316,101130760039_R05C01,1.01E+11,0.21369863,M
GSM4080317,101130760039_R06C01,1.01E+11,0.298630137,F
GSM4080318,101130760039_R01C02,1.01E+11,0.2,M
GSM4080319,101130760039_R02C02,1.01E+11,0.221917808,M
GSM4080320,101130760039_R03C02,1.01E+11,0.249315068,M
GSM4080321,101130760039_R05C02,1.01E+11,0.246575342,M
GSM4080322,101130760039_R06C02,1.01E+11,0.249315068,M
GSM4080324,101130760040_R04C01,1.01E+11,0.230136986,F
GSM4080326,101130760040_R06C01,1.01E+11,0.249315068,F
GSM4080327,101130760040_R02C02,1.01E+11,0.235616438,F
GSM4080328,101130760040_R04C02,1.01E+11,0.268493151,F
GSM4080329,101130760040_R05C02,1.01E+11,0.268493151,F
GSM4080330,101130760040_R06C02,1.01E+11,0.252054795,F
GSM4080332,101130760041_R02C01,1.01E+11,0.246575342,M
GSM4080333,101130760041_R04C01,1.01E+11,0.249315068,M
GSM4080334,101130760041_R05C01,1.01E+11,0.263013699,M
GSM4080335,101130760041_R06C01,1.01E+11,0.221917808,F
GSM4080336,101130760041_R01C02,1.01E+11,0.254794521,M
GSM4080337,101130760041_R02C02,1.01E+11,0.243835616,F
GSM4080338,101130760041_R04C02,1.01E+11,0.238356164,M
GSM4080339,101130760041_R05C02,1.01E+11,0.232876712,F
GSM4080340,101130760108_R02C01,1.01E+11,0.249315068,F
GSM4080341,101130760108_R03C01,1.01E+11,0.273972603,M
GSM4080342,101130760108_R04C01,1.01E+11,0.309589041,M
GSM4080343,101130760108_R06C01,1.01E+11,0.210958904,M
GSM4080344,101130760108_R02C02,1.01E+11,0.221917808,M
GSM4080345,101130760108_R03C02,1.01E+11,0.263013699,F
GSM4080346,101130760108_R05C02,1.01E+11,0.221917808,F
GSM4080347,101130760108_R06C02,1.01E+11,0.249315068,M
GSM4080348,101130760109_R03C01,1.01E+11,0.22739726,M
GSM4080349,101130760109_R05C01,1.01E+11,0.230136986,F
GSM4080350,101130760109_R06C01,1.01E+11,0.24109589,M
